dataset,label,precision,recall,f1_score,support
TRAIN,0,0.9979,1.0000,0.9990,13070
TRAIN,1,1.0000,0.9979,0.9990,13070
TRAIN,accuracy,,,0.9990,26140
TRAIN,macro avg,0.9990,0.9990,0.9990,26140
TRAIN,weighted avg,0.9990,0.9990,0.9990,26140
VALIDATION,0,0.9858,0.8429,0.9087,2800
VALIDATION,1,0.8628,0.9879,0.9211,2800
VALIDATION,accuracy,,,0.9154,5600
VALIDATION,macro avg,0.9243,0.9154,0.9149,5600
VALIDATION,weighted avg,0.9243,0.9154,0.9149,5600
TEST,0,0.9831,0.8329,0.9018,2801
TEST,1,0.8551,0.9857,0.9158,2801
TEST,accuracy,,,0.9093,5602
TEST,macro avg,0.9191,0.9093,0.9088,5602
TEST,weighted avg,0.9191,0.9093,0.9088,5602
